Age,Mu,Sigma,Lambda,Sex
10.92,17.41963254,0.077818895,1.76258757,Male
10.93,17.42207696,0.077810741,1.761208353,Male
10.94,17.42451399,0.077802595,1.759828068,Male
10.95,17.42694333,0.077794455,1.758446726,Male
10.96,17.42936497,0.077786322,1.757064337,Male
10.97,17.43177889,0.077778196,1.755680912,Male
10.98,17.43418505,0.077770076,1.75429646,Male
10.99,17.4365834,0.077761963,1.752910992,Male
11,17.438974,0.077753856,1.751524517,Male
11.01,17.4413571,0.077745757,1.750137046,Male
11.02,17.44373296,0.077737663,1.748748586,Male
11.03,17.4461019,0.077729577,1.74735915,Male
11.04,17.44846421,0.077721497,1.745968745,Male
11.05,17.4508202,0.077713423,1.744577382,Male
11.06,17.45317013,0.077705356,1.743185071,Male
11.07,17.45551427,0.077697295,1.741791821,Male
11.08,17.45785285,0.07768924,1.740397641,Male
11.09,17.46018602,0.077681192,1.739002541,Male
11.1,17.4625139,0.077673151,1.737606529,Male
11.11,17.4648366,0.077665115,1.736209615,Male
11.12,17.46715422,0.077657086,1.734811808,Male
11.13,17.46946683,0.077649063,1.733413115,Male
11.14,17.47177451,0.077641046,1.732013546,Male
11.15,17.47407735,0.077633035,1.730613108,Male
11.16,17.47637548,0.07762503,1.729211811,Male
11.17,17.47866902,0.077617032,1.727809663,Male
11.18,17.48095803,0.077609039,1.72640667,Male
11.19,17.48324259,0.077601053,1.725002841,Male
11.2,17.48552277,0.077593072,1.723598183,Male
11.21,17.48779873,0.077585097,1.722192705,Male
11.22,17.49007075,0.077577128,1.720786414,Male
11.23,17.49233907,0.077569165,1.719379317,Male
11.24,17.49460396,0.077561208,1.717971423,Male
11.25,17.49686562,0.077553257,1.716562738,Male
11.26,17.49912417,0.077545311,1.715153273,Male
11.27,17.50137974,0.077537371,1.713743037,Male
11.28,17.50363248,0.077529437,1.71233204,Male
11.29,17.50588252,0.077521508,1.710920292,Male
11.3,17.50812994,0.077513585,1.709507802,Male
11.31,17.51037486,0.077505667,1.708094581,Male
11.32,17.51261749,0.077497755,1.706680638,Male
11.33,17.51485809,0.077489848,1.705265982,Male
11.34,17.51709688,0.077481947,1.703850624,Male
11.35,17.51933413,0.077474051,1.702434573,Male
11.36,17.52157003,0.077466161,1.70101784,Male
11.37,17.52380476,0.077458276,1.699600434,Male
11.38,17.52603861,0.077450396,1.698182367,Male
11.39,17.52827187,0.077442521,1.696763647,Male
11.4,17.53050478,0.077434652,1.695344286,Male
11.41,17.53273756,0.077426788,1.693924294,Male
11.42,17.53497045,0.077418929,1.69250368,Male
11.43,17.53720368,0.077411075,1.691082455,Male
11.44,17.53943749,0.077403226,1.689660629,Male
11.45,17.54167216,0.077395382,1.688238212,Male
11.46,17.54390798,0.077387543,1.686815214,Male
11.47,17.54614522,0.07737971,1.685391645,Male
11.48,17.54838416,0.07737188,1.683967515,Male
11.49,17.55062507,0.077364056,1.682542835,Male
11.5,17.5528682,0.077356237,1.681117613,Male
11.51,17.55511384,0.077348423,1.67969186,Male
11.52,17.55736222,0.077340613,1.678265585,Male
11.53,17.5596136,0.077332808,1.676838798,Male
11.54,17.56186822,0.077325007,1.675411509,Male
11.55,17.56412634,0.077317212,1.673983726,Male
11.56,17.5663883,0.07730942,1.672555461,Male
11.57,17.56865449,0.077301634,1.671126721,Male
11.58,17.5709255,0.077293852,1.669697514,Male
11.59,17.57320192,0.077286074,1.668267845,Male
11.6,17.57548422,0.077278301,1.666837721,Male
11.61,17.57777281,0.077270532,1.66540715,Male
11.62,17.58006815,0.077262768,1.663976137,Male
11.63,17.58237068,0.077255007,1.66254469,Male
11.64,17.58468078,0.077247252,1.661112815,Male
11.65,17.58699892,0.0772395,1.659680519,Male
11.66,17.58932554,0.077231753,1.658247809,Male
11.67,17.5916611,0.07722401,1.656814691,Male
11.68,17.59400607,0.077216271,1.655381172,Male
11.69,17.59636093,0.077208536,1.653947258,Male
11.7,17.59872611,0.077200806,1.652512957,Male
11.71,17.60110201,0.077193079,1.651078273,Male
11.72,17.60348898,0.077185357,1.649643214,Male
11.73,17.60588739,0.077177638,1.648207786,Male
11.74,17.60829757,0.077169924,1.646771994,Male
11.75,17.61071989,0.077162214,1.645335845,Male
11.76,17.61315478,0.077154507,1.643899345,Male
11.77,17.61560268,0.077146805,1.6424625,Male
11.78,17.61806401,0.077139106,1.641025316,Male
11.79,17.62053919,0.077131411,1.639587798,Male
11.8,17.62302858,0.07712372,1.638149953,Male
11.81,17.62553259,0.077116032,1.636711786,Male
11.82,17.62805166,0.077108349,1.635273303,Male
11.83,17.63058627,0.077100669,1.633834509,Male
11.84,17.63313697,0.077092993,1.632395411,Male
11.85,17.63570426,0.07708532,1.630956013,Male
